ARGs abundance normalization aganist 16S	Subtype level results
	STAS	SWHAS104
beta-lactam__GES-15	0	0
beta-lactam__GES-17	0	0
beta-lactam__GES-18	0	0
beta-lactam__GES-19	0	0
beta-lactam__GES-20	0	0
beta-lactam__GES-21	0	0
beta-lactam__GES-23	0	0
beta-lactam__GES-3	0	0
beta-lactam__GES-4	0	0
beta-lactam__GES-5	0	0
beta-lactam__GES-9	0	0
beta-lactam__GIM-1	0	0
beta-lactam__GOB-1	0	0
beta-lactam__IBC-2	0	0
beta-lactam__IMI-1	0	0
beta-lactam__IMI-2	0	0
beta-lactam__IMI-3	0	0
beta-lactam__IMI-4	0	0
beta-lactam__IMP	0	0
beta-lactam__IMP-1	0	0
beta-lactam__IMP-10	0	0
beta-lactam__IMP-11	0	0
beta-lactam__IMP-12	0	0
beta-lactam__IMP-13	0	0
beta-lactam__IMP-14	0	0
beta-lactam__IMP-15	0	0
beta-lactam__IMP-16	0	0
beta-lactam__IMP-18	0	0
beta-lactam__IMP-19	0	0
beta-lactam__IMP-2	0	0
beta-lactam__IMP-20	0	0
beta-lactam__IMP-21	0	0
beta-lactam__IMP-22	0	0
beta-lactam__IMP-24	0	0
beta-lactam__IMP-25	0	0
beta-lactam__IMP-27	0	0
beta-lactam__IMP-28	0	0
beta-lactam__IMP-29	0	0
beta-lactam__IMP-31	0	0
beta-lactam__IMP-32	0	0
beta-lactam__IMP-33	0	0
beta-lactam__IMP-35	0	0
beta-lactam__IMP-37	0	0
beta-lactam__IMP-38	0	0
beta-lactam__IMP-4	0	0
beta-lactam__IMP-40	0	0
beta-lactam__IMP-41	0	0
beta-lactam__IMP-42	0	0
beta-lactam__IMP-43	0	0
beta-lactam__IMP-44	0	0
beta-lactam__IMP-5	0	0
beta-lactam__IMP-6	0	0
beta-lactam__IMP-7	0	0
beta-lactam__IMP-8	0	0
beta-lactam__IMP-9	0	0
beta-lactam__IND-1	0	0
beta-lactam__IND-10	0	0
beta-lactam__IND-11	0	0
beta-lactam__IND-12	0	0
beta-lactam__IND-14	0	0
beta-lactam__IND-15	0	0
beta-lactam__IND-3	0	0
beta-lactam__IND-4	0	0
beta-lactam__IND-5	0	0
beta-lactam__IND-6	0	0
beta-lactam__IND-7	0	0
beta-lactam__IND-8	0	0
beta-lactam__IND-9	0	0
beta-lactam__JOHN-1	0	0
beta-lactam__KHM-1	0	0
beta-lactam__KLUG-1	0	0
beta-lactam__KLUY-2	0	0
beta-lactam__KLUY-3	0	0
beta-lactam__KLUY-4	0	0
beta-lactam__KPC-1	0	0
beta-lactam__KPC-10	0	0
beta-lactam__KPC-11	0	0
beta-lactam__KPC-12	0	0
beta-lactam__KPC-13	0	0
beta-lactam__KPC-15	0	0
beta-lactam__KPC-16	0	0
beta-lactam__KPC-17	0	0
beta-lactam__KPC-2	0	0
beta-lactam__KPC-3	0	0
beta-lactam__KPC-4	0	0
beta-lactam__KPC-5	0	0
beta-lactam__KPC-6	0	0
beta-lactam__KPC-7	0	0
beta-lactam__KPC-8	0	0
beta-lactam__LCR-1	0	0
beta-lactam__LEN-1	0	0
beta-lactam__LEN-15	0	0
beta-lactam__LEN-16	0	0
beta-lactam__LEN-17	0	0
beta-lactam__LEN-18	0	0
beta-lactam__LEN-19	0	0
beta-lactam__LEN-2	0	0
beta-lactam__LEN-20	0	0
beta-lactam__LEN-21	0	0
beta-lactam__LEN-23	0	0
